,0
0,The Hunchback of Notre Dame II
1,Jiminy Cricket's Christmas
2,Brave Little Tailor
3,The Pacifier
4,Wizards of Waverly Place: The Movie
5,Pirates of the Caribbean (franchise)
6,Zenon: Z3
7,Recess: School's Out
8,Whispers: An Elephant's Tale
9,Zootopia
10,Elena and the Secret of Avalor
11,Raya and the Last Dragon
12,102 Dalmatians
13,The Princess Diaries 2: Royal Engagement
14,"Splash, Too"
15,Heavyweights
16,Tex
17,Meet the Robinsons
18,Disenchanted
19,Halloweentown II: Kalabar's Revenge
20,Artemis Fowl
21,w:c:muppet:It's a Very Merry Muppet Christmas Movie
22,Robin Hood
23,Morgan's Ghost
24,Mickey's House of Villains
25,Chicken Little
26,Winnie the Pooh: Springtime with Roo
27,Treasure Planet
28,The Nutcracker and the Four Realms
29,Phineas and Ferb the Movie: Candace Against the Universe
30,Fun and Fancy Free
31,Disney Princess Enchanted Tales: Follow Your Dreams
32,No Hunting
33,Winnie the Pooh (film)
34,Doug's 1st Movie
35,In Search of the Castaways
36,Brother Bear 2
37,The Sign of Zorro
38,Toby Tyler
39,Snow White and the Seven Dwarfs
40,Underdog
41,Tinker Bell and The Great Fairy Rescue
42,The Santa Clause
43,Pirates of the Caribbean: Dead Man's Chest
44,Shake It Up: Made in Japan
45,Aladdin 2 (live-action film)
46,Geppetto (TV Musical)
47,Wreck-It Ralph (film)
48,The Cheetah Girls
49,Oliver Twist
50,Bambi (film)
51,Pete's Dragon (2016 film)
52,The Rescuers Down Under
53,The Three Musketeers
54,The Tigger Movie
55,Maleficent (film)
56,The Three Caballeros
57,Hocus Pocus
58,"Mickey, Donald, Goofy: The Three Musketeers"
59,Mulan (2020 film)
60,Return from Witch Mountain
61,The Santa Clause 2
62,The Sorcerer's Apprentice (film)
63,Cinderella (2015 film)
64,I'll Be Home for Christmas
65,Frozen II
66,Cars 3
67,The Shaggy Dog (1994 film)
68,Planes: Fire & Rescue
69,Pete's Dragon
70,The Nightmare Before Christmas
71,101 Dalmatians (1996 film)
72,Secret of the Wings
73,John Carter (film)
74,Pocahontas ll: Journey to a New World
75,Frozen
76,Trail Mix-Up
77,Make Mine Music
78,The Rise of Scar
79,The Goddess of Spring
80,The Many Adventures of Winnie the Pooh
81,Tangled: Before Ever After
82,Race to Witch Mountain
83,Toothless
84,Eloise at Christmastime
85,Boo to You Too! Winnie the Pooh
86,More To Explore (page does not exist)
87,The Country Bears
88,Hulk: Where Monsters Dwell
89,Air Bud: Golden Receiver
90,National Treasure: Book of Secrets
91,George of the Jungle
92,Tom and Huck
93,The Rocketeer
94,Tuck Everlasting
95,Goliath II
96,The Island at the Top of the World
97,Hocus Pocus 2
98,So Dear to My Heart
99,The Incredible Journey
100,TRON
101,High School Musical
102,Upside-Down Magic
103,Beauty and the Beast (2017 film)
104,My Favorite Martian
105,Avalon High
106,High School Musical 3
107,The Computer Wore Tennis Shoes (1995 film) (page does not exist)
108,Homeward Bound: The Incredible Journey
109,Pollyanna
110,Mighty Joe Young
111,Peter Pan & Wendy
112,The Muppet Christmas Carol
113,Peter Pan and Wendy
114,Recess Christmas: Miracle on Third Street
115,Prince of Persia: The Sands of Time
116,Herbie Goes Bananas
117,Pocahontas
118,Pirates of the Caribbean: The Curse of the Black Pearl
119,The Cheetah Girls 2
120,Homeward Bound II: Lost in San Francisco
121,Dinosaur
122,Teen Beach 2
123,Oliver & Company
124,Recess: All Growed Down
125,"Honey, I Shrunk the Kids"
126,Phineas and Ferb The Movie: Candace Against the Universe
127,G-Force
128,Return to Halloweentown
129,Dumbo (1941 film)
130,Alice in Wonderland (1951 film)
131,A Wrinkle in Time (film)
132,Pirates of the Caribbean: At World's End
133,The Book of Pooh: Stories from the Heart
134,Tinker Bell (film)
135,Kim Possible (film)
136,Frankenweenie
137,The Lion Guard
138,Let's Stick Together
139,King of the Grizzlies
140,Flight of the Navigator
141,Disney Sing Along Songs
142,Herbie Goes to Monte Carlo
143,Toy Story 4
144,Descendants 3
145,Inspector Gadget (1999 film)
146,The Emperor's New Groove 2: Kronk's New Groove
147,Rose Red (film)
148,Reign of Fire
149,The Good Dinosaur
150,The Sorcerer's Apprentice
151,The Haunted Mansion (2003 film)
152,Mighty Ducks Movie: The First Face-Off
153,The Black Hole
154,Mackenzie Falls
155,Beverly Hills Family Robinson
156,Coco
157,The Apple Dumpling Gang
158,White Fang
159,"Charlie, the Lonesome Cougar"
160,D3: The Mighty Ducks
161,Inside Out
162,Santa Buddies
163,Mary Poppins (film)
164,Roger Rabbit II: The Toon Platoon
165,Ralph Breaks the Internet
166,Moana (film)
167,Robin Hood (film)
168,Casey Bats Again
169,Timmy Failure: Mistakes Were Made
170,Muppet Treasure Island
171,The Parent Trap IV: Hawaiian Honeymoon
172,The Suite Life Movie
173,The Computer Wore Tennis Shoes
174,The Shaggy Dog
175,White Fang 2: Myth of the White Wolf
176,Mickey's Twice Upon a Christmas
177,Swiss Family Robinson
178,Toby Tortoise Returns
179,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
180,Geppetto (film)
181,Beauty and the Beast (1991 film)
182,The Odd Life of Timothy Green
183,Bridge to Terabithia
184,Lady and the Tramp (2019 film)
185,The Wizards Return: Alex vs. Alex
186,The Fox and the Hound
187,The Little Mermaid II: Return to the Sea
188,The Small One
189,The Princess and the Frog
190,Dragonslayer
191,Halloweentown
192,Finding Nemo
193,The Love Bug (1997 film)
194,Babes in Toyland
195,Herbie: Fully Loaded
196,One Magic Christmas
197,The Emperor's New Groove
198,Tarzan (film)
199,Camp Rock 2: The Final Jam
200,John Henry
201,The Muppets (film)
202,The Little Mermaid: Ariel's Beginning
203,The Ultimate Christmas Present
204,Avengers: Endgame
205,Shrunk
206,The Reluctant Dragon (short)
207,The Lion King 1½
208,The Lion King (2019 film)
209,The Prince and the Pauper
210,That Darn Cat
211,Blackbeard's Ghost
212,S.H.I.E.L.D.
213,Chip 'n Dale Rescue Rangers (film)
214,The Adventures of Huck Finn
215,Elena of Avalor: Realm of the Jaquins
216,The Avengers (film)
217,Cartoon All-Stars to the Rescue
218,The Princess Diaries
219,Cinderella III: A Twist in Time
220,The Jungle Book 2 (live-action film)
221,Zombies 3
222,Who Framed Roger Rabbit
223,Zombies 2
224,Pinocchio (film)
225,Beverly Hills Chihuahua 2
226,Zapped
227,Zenon: The Zequel
228,The Proud Family Movie
229,Chicken Little (film)
230,Descendants: The Royal Wedding
231,Sharpay's Fabulous Adventure
232,Tower of Terror (film)
233,Treasure Island
234,Hollywood Stargirl
235,Descendants
236,Alice Through the Looking Glass
237,Halloweentown High
238,Geek Charming
239,Mary Poppins Returns
240,Treasure Buddies
241,Hercules
242,Sky High
243,Oliver and Company
244,The Jungle Book (2016 film)
245,Max Keeble's Big Move
246,Mickey's Polo Team
247,The Parent Trap
248,Pocahontas (film)
249,2010
250,A Wrinkle in Time (2018 film)
251,Splash
252,Ratatouille
253,That Darn Cat (1997)
254,Mickey's Good Deed
255,Enchanted
256,Hannah Montana: The Movie
257,Fantasia
258,Angels in the Outfield
259,Santa Paws 2: The Santa Pups
260,The Strongest Man in the World
261,One of Our Dinosaurs is Missing
262,The Shaggy D.A.
263,Melody Time
